*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   50 MHz |  143 | -67 dBm | -30 dBm | fbf_2
  150 MHz |  285 | -67 dBm | -30 dBm | fbf_2
  160 MHz |   73 | -67 dBm | -30 dBm | fbf_2
  310 MHz |  360 | -67 dBm | -30 dBm | fbf_2
  320 MHz |  225 | -67 dBm | -30 dBm | fbf_2
  510 MHz |  137 | -67 dBm | -30 dBm | fbf_2
  710 MHz |    7 | -67 dBm | -30 dBm | fbf_2
  870 MHz |  285 | -67 dBm | -30 dBm | fbf_2
 1080 MHz |  222 | -67 dBm | -30 dBm | fbf_2
 1200 MHz |   82 | -67 dBm | -30 dBm | fbf_2
 1280 MHz |  267 | -67 dBm | -30 dBm | fbf_2
 1320 MHz |  223 | -67 dBm | -30 dBm | fbf_2
 1350 MHz |  262 | -67 dBm | -30 dBm | fbf_2
 1600 MHz |   81 | -67 dBm | -30 dBm | fbf_2
 1660 MHz |   64 | -67 dBm | -30 dBm | fbf_2
 1780 MHz |   72 | -67 dBm | -30 dBm | fbf_2
 1840 MHz |  246 | -67 dBm | -30 dBm | fbf_2
 1870 MHz |  336 | -67 dBm | -30 dBm | fbf_2
 1940 MHz |  304 | -67 dBm | -30 dBm | fbf_2
 2054 MHz |  124 | -67 dBm | -35 dBm | fbf_2
 2084 MHz |  126 | -67 dBm | -35 dBm | fbf_2
 2093 MHz |   67 | -67 dBm | -35 dBm | fbf_2
 2099 MHz |  132 | -67 dBm | -35 dBm | fbf_2
 2105 MHz |  149 | -67 dBm | -35 dBm | fbf_2
 2123 MHz |  400 | -67 dBm | -35 dBm | fbf_2
 2156 MHz |  315 | -67 dBm | -35 dBm | fbf_2
 2186 MHz |  195 | -67 dBm | -35 dBm | fbf_2
 2264 MHz |  118 | -67 dBm | -35 dBm | fbf_2
 2270 MHz |  148 | -67 dBm | -35 dBm | fbf_2
 2303 MHz |  253 | -67 dBm | -35 dBm | fbf_2
 2315 MHz |  138 | -67 dBm | -35 dBm | fbf_2
 2360 MHz |  438 | -67 dBm | -35 dBm | fbf_2
 2372 MHz |   72 | -67 dBm | -35 dBm | fbf_2
 2375 MHz |  251 | -67 dBm | -35 dBm | fbf_2
 2496 MHz |  376 | -67 dBm | -35 dBm | fbf_2
 2499 MHz |  282 | -67 dBm | -35 dBm | fbf_2
 2526 MHz |  271 | -67 dBm | -35 dBm | fbf_2
 2532 MHz |   60 | -67 dBm | -35 dBm | fbf_2
 2535 MHz |  278 | -67 dBm | -35 dBm | fbf_2
 2559 MHz |   60 | -67 dBm | -35 dBm | fbf_2
 2673 MHz |  167 | -67 dBm | -35 dBm | fbf_2
 2709 MHz |  107 | -67 dBm | -35 dBm | fbf_2
 2766 MHz |  348 | -67 dBm | -35 dBm | fbf_2
 2805 MHz |  180 | -67 dBm | -35 dBm | fbf_2
 2895 MHz |  361 | -67 dBm | -35 dBm | fbf_2
 2955 MHz |  167 | -67 dBm | -35 dBm | fbf_2
 2967 MHz |  366 | -67 dBm | -35 dBm | fbf_2
 2982 MHz |  366 | -67 dBm | -35 dBm | fbf_2
 3000 MHz |  413 | -67 dBm | -30 dBm | fbf_2
 3050 MHz |  426 | -67 dBm | -30 dBm | fbf_2
