*** Failures ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results


*** Warnings ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results


*** All Results ***
Frequency | Received Packets |Wanted Signal Level | Blocking Signal Level | Results
   30 MHz | 1500 | -67 dBm | -30 dBm | Pass
   40 MHz | 1500 | -67 dBm | -30 dBm | Pass
   50 MHz | 1500 | -67 dBm | -30 dBm | Pass
   60 MHz | 1500 | -67 dBm | -30 dBm | Pass
   70 MHz | 1500 | -67 dBm | -30 dBm | Pass
   80 MHz | 1500 | -67 dBm | -30 dBm | Pass
   90 MHz | 1500 | -67 dBm | -30 dBm | Pass
  100 MHz | 1500 | -67 dBm | -30 dBm | Pass
  110 MHz | 1500 | -67 dBm | -30 dBm | Pass
  120 MHz | 1500 | -67 dBm | -30 dBm | Pass
  130 MHz | 1500 | -67 dBm | -30 dBm | Pass
  140 MHz | 1500 | -67 dBm | -30 dBm | Pass
  150 MHz | 1500 | -67 dBm | -30 dBm | Pass
  160 MHz | 1500 | -67 dBm | -30 dBm | Pass
  170 MHz | 1500 | -67 dBm | -30 dBm | Pass
  180 MHz | 1500 | -67 dBm | -30 dBm | Pass
  190 MHz | 1500 | -67 dBm | -30 dBm | Pass
  200 MHz | 1500 | -67 dBm | -30 dBm | Pass
  210 MHz | 1500 | -67 dBm | -30 dBm | Pass
  220 MHz | 1500 | -67 dBm | -30 dBm | Pass
  230 MHz | 1500 | -67 dBm | -30 dBm | Pass
  240 MHz | 1500 | -67 dBm | -30 dBm | Pass
  250 MHz | 1500 | -67 dBm | -30 dBm | Pass
  260 MHz | 1500 | -67 dBm | -30 dBm | Pass
  270 MHz | 1500 | -67 dBm | -30 dBm | Pass
  280 MHz | 1500 | -67 dBm | -30 dBm | Pass
  290 MHz | 1500 | -67 dBm | -30 dBm | Pass
  300 MHz | 1500 | -67 dBm | -30 dBm | Pass
  310 MHz | 1500 | -67 dBm | -30 dBm | Pass
  320 MHz | 1500 | -67 dBm | -30 dBm | Pass
  330 MHz | 1500 | -67 dBm | -30 dBm | Pass
  340 MHz | 1500 | -67 dBm | -30 dBm | Pass
  350 MHz | 1500 | -67 dBm | -30 dBm | Pass
  360 MHz | 1500 | -67 dBm | -30 dBm | Pass
  370 MHz | 1500 | -67 dBm | -30 dBm | Pass
  380 MHz | 1500 | -67 dBm | -30 dBm | Pass
  390 MHz | 1500 | -67 dBm | -30 dBm | Pass
  400 MHz | 1500 | -67 dBm | -30 dBm | Pass
  410 MHz | 1500 | -67 dBm | -30 dBm | Pass
  420 MHz | 1500 | -67 dBm | -30 dBm | Pass
  430 MHz | 1500 | -67 dBm | -30 dBm | Pass
  440 MHz | 1500 | -67 dBm | -30 dBm | Pass
  450 MHz | 1500 | -67 dBm | -30 dBm | Pass
  460 MHz | 1500 | -67 dBm | -30 dBm | Pass
  470 MHz | 1500 | -67 dBm | -30 dBm | Pass
  480 MHz | 1500 | -67 dBm | -30 dBm | Pass
  490 MHz | 1500 | -67 dBm | -30 dBm | Pass
  500 MHz | 1500 | -67 dBm | -30 dBm | Pass
  510 MHz | 1500 | -67 dBm | -30 dBm | Pass
